plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
47,117.2,37.6,Shandong,East_China,0.228041,-10.321,24.063939
209,122.23,41.04,Liaoning,Northeast_China,0.127641,-10.309,24.19158
73,114.74,37.76,Hebei,North_China,0.198649,-10.006,24.390229
143,112.78,26.42,Hunan,Central_South_China,0.144301,-9.958,24.53453
44,116.81,37.26,Shandong,East_China,0.23003,-9.121,24.76456
116,115.73,38.17,Hebei,North_China,0.174269,-9.118,24.938829
315,105.89,29.77,Chongqing,Southwest_China,0.107843,-9.042,25.046672
13,113.6,34.04,Henan,Central_South_China,0.264968,-8.932,25.31164
482,115.71,30.46,Hubei,Central_South_China,0.080883,-8.921,25.392523
481,106.77,29.13,Chongqing,Southwest_China,0.084253,-8.686,25.476776
320,113.86,33.92,Henan,Central_South_China,0.108453,-8.502,25.585229
227,114.48,30.88,Hubei,Central_South_China,0.126408,-8.139,25.711637
15,115.69,35.03,Shandong,East_China,0.260336,-8.029,25.971973
195,115.46,28.62,Jiangxi,East_China,0.131594,-8.008,26.103567
118,117.16,35.08,Shandong,East_China,0.170663,-7.939,26.27423
245,114.91,26.84,Jiangxi,East_China,0.11832,-7.695,26.39255
5,120.49,32.68,Jiangsu,East_China,0.274216,-7.639,26.666766
180,123.35,42.74,Liaoning,Northeast_China,0.150228,-7.496,26.816994
256,114.07,34.79,Henan,Central_South_China,0.123724,-7.338,26.940718
274,123.7,42.38,Liaoning,Northeast_China,0.123669,-7.223,27.064387
104,118.33,36.91,Shandong,East_China,0.175769,-7.069,27.240156
408,77.23,38.31,Xinjiang,Northwest_China,0.097749,-7.035,27.337905
363,80.32,41.09,Xinjiang,Northwest_China,0.105492,-6.395,27.443397
93,121.52,31.84,Jiangsu,East_China,0.18098,-6.389,27.624377
81,117.69,37.71,Shandong,East_China,0.195529,-6.272,27.819906
208,121.83,39.65,Liaoning,Northeast_China,0.133089,-6.041,27.952995
18,116.95,34.29,Anhui,East_China,0.241836,-6.036,28.194831
435,120.11,32.99,Jiangsu,East_China,0.086303,-5.846,28.281134
17,116.37,37.05,Shandong,East_China,0.250587,-5.738,28.531721
7,115.42,36.52,Shandong,East_China,0.27455,-5.719,28.806271
45,114.18,34.18,Henan,Central_South_China,0.22317,-5.672,29.029441
287,122.88,41.76,Liaoning,Northeast_China,0.11705,-5.547,29.146491
78,118.36,33.83,Jiangsu,East_China,0.190166,-5.174,29.336657
189,115.73,32.09,Henan,Central_South_China,0.136522,-5.065,29.473179
476,117.14,28.4,Jiangxi,East_China,0.080402,-5.022,29.553581
99,117.26,35.75,Shandong,East_China,0.179882,-4.704,29.733463
183,121.98,41.46,Liaoning,Northeast_China,0.145961,-4.678,29.879424
168,120,32.66,Jiangsu,East_China,0.141038,-4.606,30.020462
298,118.44,36.46,Shandong,East_China,0.114265,-4.569,30.134727
3,114.75,33.83,Henan,Central_South_China,0.299879,-4.506,30.434606
4,115.03,33.29,Henan,Central_South_China,0.302159,-4.501,30.736765
364,111.05,27.31,Hunan,Central_South_China,0.095967,-4.498,30.832732
203,117.04,31.58,Anhui,East_China,0.128065,-4.337,30.960797
37,115.25,35.18,Shandong,East_China,0.236304,-4.249,31.197101
114,112.05,34.56,Henan,Central_South_China,0.175435,-4.092,31.372536
207,111.68,26.46,Hunan,Central_South_China,0.12912,-4.05,31.501656
74,113.13,35.06,Henan,Central_South_China,0.196799,-3.921,31.698455
444,115.65,38.61,Hebei,North_China,0.091771,-3.76,31.790226
83,115.27,30.43,Hubei,Central_South_China,0.182216,-3.692,31.972442
341,117.43,39.72,Tianjin,North_China,0.108592,-3.65,32.081034
61,114.38,36.06,Henan,Central_South_China,0.202968,-3.562,32.284002
10,113.55,33.55,Henan,Central_South_China,0.27376,-3.505,32.557762
22,115.79,35.51,Shandong,East_China,0.246048,-3.461,32.80381
264,119.53,32.5,Jiangsu,East_China,0.119246,-3.402,32.923056
206,116.03,27.82,Jiangxi,East_China,0.124603,-3.177,33.047659
172,117,36.89,Shandong,East_China,0.14798,-2.903,33.195639
479,111.09,35.52,Shanxi,North_China,0.085736,-2.425,33.281375
164,116.31,37.51,Shandong,East_China,0.152023,-2.314,33.433398
60,120.87,32.35,Jiangsu,East_China,0.202824,-2.309,33.636222
480,111.29,26.73,Hunan,Central_South_China,0.082061,-2.126,33.718283
393,113.2,26.59,Hunan,Central_South_China,0.091253,-2.041,33.809536
339,116.49,38.8,Hebei,North_China,0.109143,-1.656,33.918679
473,122.87,42.64,Liaoning,Northeast_China,0.090795,-1.608,34.009474
422,121.33,41.19,Liaoning,Northeast_China,0.09587,-1.469,34.105344
98,112.49,29.3,Hunan,Central_South_China,0.173396,-1.338,34.27874
105,112.7,34.82,Henan,Central_South_China,0.175548,-1.1,34.454288
468,117.03,36.17,Shandong,East_China,0.088266,-0.967,34.542554
312,113.13,33.7,Henan,Central_South_China,0.112097,-0.887,34.654651
135,115.22,36.22,Hebei,North_China,0.158322,-0.794,34.812973
205,115.77,29.94,Hubei,Central_South_China,0.130101,-0.699,34.943074
8,114.37,35.59,Henan,Central_South_China,0.273278,-0.306,35.216352
144,117.95,35.04,Shandong,East_China,0.154485,-0.302,35.370837
184,118.33,37.67,Shandong,East_China,0.146493,-0.24,35.51733
423,111.54,25.41,Hunan,Central_South_China,0.0888,-0.153,35.60613
