plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
482,115.71,30.46,Hubei,Central_South_China,0.080883,-8.921,8.828887
320,113.86,33.92,Henan,Central_South_China,0.108453,-8.502,8.93734
227,114.48,30.88,Hubei,Central_South_China,0.126408,-8.139,9.063748
256,114.07,34.79,Henan,Central_South_China,0.123724,-7.338,9.187472
45,114.18,34.18,Henan,Central_South_China,0.22317,-5.672,9.410642
189,115.73,32.09,Henan,Central_South_China,0.136522,-5.065,9.547164
3,114.75,33.83,Henan,Central_South_China,0.299879,-4.506,9.847043
4,115.03,33.29,Henan,Central_South_China,0.302159,-4.501,10.149202
364,111.05,27.31,Hunan,Central_South_China,0.095967,-4.498,10.245169
114,112.05,34.56,Henan,Central_South_China,0.175435,-4.092,10.420604
207,111.68,26.46,Hunan,Central_South_China,0.12912,-4.05,10.549724
74,113.13,35.06,Henan,Central_South_China,0.196799,-3.921,10.746523
83,115.27,30.43,Hubei,Central_South_China,0.182216,-3.692,10.928739
61,114.38,36.06,Henan,Central_South_China,0.202968,-3.562,11.131707
10,113.55,33.55,Henan,Central_South_China,0.27376,-3.505,11.405467
480,111.29,26.73,Hunan,Central_South_China,0.082061,-2.126,11.487528
393,113.2,26.59,Hunan,Central_South_China,0.091253,-2.041,11.578781
98,112.49,29.3,Hunan,Central_South_China,0.173396,-1.338,11.752177
105,112.7,34.82,Henan,Central_South_China,0.175548,-1.1,11.927725
312,113.13,33.7,Henan,Central_South_China,0.112097,-0.887,12.039822
205,115.77,29.94,Hubei,Central_South_China,0.130101,-0.699,12.169923
8,114.37,35.59,Henan,Central_South_China,0.273278,-0.306,12.443201
423,111.54,25.41,Hunan,Central_South_China,0.0888,-0.153,12.532001
77,113.05,34.01,Henan,Central_South_China,0.20114,-0.077,12.733141
38,113.65,35.28,Henan,Central_South_China,0.229496,0.559,12.962637
289,111.94,27.27,Hunan,Central_South_China,0.111736,1.048,13.074373
152,114.99,30.84,Hubei,Central_South_China,0.146419,1.359,13.220792
389,114.44,29.96,Hubei,Central_South_China,0.094195,1.439,13.314987
57,113.64,31.04,Hubei,Central_South_China,0.204063,1.866,13.51905
463,115.44,30.89,Hubei,Central_South_China,0.086499,2.01,13.605549
59,115.26,32.32,Henan,Central_South_China,0.202865,2.168,13.808414
158,112,30.71,Hubei,Central_South_China,0.146483,2.177,13.954897
14,114.95,35.94,Henan,Central_South_China,0.253932,2.493,14.208829
474,112.98,34.49,Henan,Central_South_China,0.08579,2.647,14.294619
19,114.95,34.28,Henan,Central_South_China,0.248492,2.76,14.543111
169,113.33,34.45,Henan,Central_South_China,0.146172,3.284,14.689283
107,112.64,34.26,Henan,Central_South_China,0.176091,5.084,14.865374
372,113.61,32.82,Henan,Central_South_China,0.101642,5.273,14.967016
258,112.97,29.68,Hunan,Central_South_China,0.123192,5.474,15.090208
284,114.03,30.95,Hubei,Central_South_China,0.115192,5.884,15.2054
119,114.02,35.25,Henan,Central_South_China,0.169518,5.956,15.374918
100,113.69,30.58,Hubei,Central_South_China,0.17287,6.039,15.547788
181,111.91,30.14,Hubei,Central_South_China,0.142764,6.09,15.690552
225,112.5,30.94,Hubei,Central_South_China,0.129154,6.223,15.819706
